log_s,log_rs,log_rs_diff,north,south
1.875061263,1.18310792,1.182227069,1.383479573,1.387189745
1.880813592,1.188358117,1.186424985,1.390804592,1.394226664
1.886490725,1.193486049,1.190594152,1.397984741,1.401201366
1.892094603,1.198495858,1.194870244,1.404987279,1.40804872
1.897627091,1.203428429,1.199124515,1.411854559,1.414781983
1.903089987,1.208373014,1.203192401,1.418616246,1.421404911
1.908485019,1.213279021,1.207139969,1.425285041,1.427904655
1.913813852,1.218135987,1.211012661,1.431855708,1.434287479
1.919078092,1.223028076,1.214856964,1.438327523,1.440608128
1.924279286,1.227880454,1.218731818,1.444703869,1.446830683
1.929418926,1.232523987,1.222687959,1.451011847,1.452947134
1.934498451,1.237144571,1.226445211,1.457240732,1.458966788
1.939519253,1.241662359,1.230079443,1.463405665,1.464874961
1.944482672,1.246133679,1.233780436,1.469493941,1.470690578
1.949390007,1.25055057,1.23749528,1.475513294,1.476455524
1.954242509,1.254866753,1.241110653,1.481464097,1.482141667
1.959041392,1.259158461,1.244659672,1.487331586,1.487747866
1.963787827,1.26338922,1.248103672,1.493177278,1.493260564
1.968482949,1.267694626,1.251403915,1.498925597,1.4987
1.973127854,1.271923477,1.254721567,1.504562139,1.504042636
1.977723605,1.275980289,1.258014527,1.510096011,1.50930877
1.982271233,1.28007322,1.261199087,1.515535828,1.514504725
1.986771734,1.284135043,1.264337535,1.520901121,1.519643045
1.991226076,1.28817757,1.267583155,1.526192356,1.524685207
1.995635195,1.292010133,1.270879042,1.531415651,1.529658681
2,1.295787946,1.274080796,1.536563575,1.534563587
2.004321374,1.299550817,1.277194099,1.541679775,1.539387242
2.008600172,1.303385178,1.280448447,1.54673112,1.544140526
2.012837225,1.307198865,1.283703288,1.551709359,1.548836963
2.017033339,1.31093734,1.286875084,1.556628461,1.55347851
2.021189299,1.314676526,1.290031991,1.561478871,1.558077321
2.025305865,1.318285799,1.29300837,1.566248358,1.562597472
2.029383778,1.321887222,1.296025199,1.570965879,1.56705042
2.033423755,1.32545152,1.299012405,1.575632453,1.571428749
2.037426498,1.329010609,1.301951732,1.580210316,1.575731995
2.041392685,1.332520862,1.304825309,1.584737036,1.579982037
2.045322979,1.336014954,1.307716969,1.58920912,1.584161581
2.049218023,1.339518409,1.31044861,1.593627326,1.588284758
2.053078443,1.342972858,1.313034416,1.597976423,1.592349124
2.056904851,1.346307172,1.315602294,1.602255776,1.596338926
2.06069784,1.349562207,1.318111952,1.606457718,1.600276502
2.064457989,1.352812135,1.32061564,1.610578961,1.604181811
2.068185862,1.356106433,1.323044987,1.614622996,1.608057107
2.071882007,1.359453005,1.325375991,1.618596142,1.611932926
2.075546961,1.362569812,1.327687265,1.622501133,1.615759583
2.079181246,1.36565942,1.329936823,1.626332488,1.619526867
